id,article_id,article_name,number_requested,created_at,article_type,language,original_article_id,news_blob_uri
23,085d6257-a56b-410c-ab47-8aa2f5197eaa,"Like all new hires, my first 30 days involved shadowing the team, getting familiar with our processes, and practicing using static analysis tools by running them against an open-source project of my choosing. I chose to focus on AI software that was in sc",1,2025-08-13 16:56:26.713156,Others,en,,news/085d6257-a56b-410c-ab47-8aa2f5197eaa.zip
24,bf0d398b-d8d2-4763-a92a-9c7f6c450a1b,Uncovering memory corruption in NVIDIA Triton (as a new hire),1,2025-08-13 17:03:52.794168,Others,en,,news/bf0d398b-d8d2-4763-a92a-9c7f6c450a1b.zip
25,febeee75-b7c6-4f76-9ae9-5a976613a0cc,Uncovering memory corruption in NVIDIA Triton (as a new hire),1,2025-08-13 17:09:11.668563,Others,en,,news/febeee75-b7c6-4f76-9ae9-5a976613a0cc.zip
26,7ffd9cf8-8e66-4797-a3e9-7addd7eb277f,Future of Tech drones/smartphones venn infographic,1,2025-08-13 17:31:43.6519,Others,en,,news/7ffd9cf8-8e66-4797-a3e9-7addd7eb277f.zip
27,2e09d1de-87d2-4f32-af1f-8c2930d9c8b6,"Support nonprofit, nonpartisan news in Newton. GIVE TODAY.",1,2025-08-13 17:49:18.042255,Others,en,,news/2e09d1de-87d2-4f32-af1f-8c2930d9c8b6.zip
28,9c76559e-7466-4dc4-87f8-b6e701f1a490,"Support nonprofit, nonpartisan news in Newton. GIVE TODAY.",1,2025-08-13 18:35:48.108478,Others,en,,news/9c76559e-7466-4dc4-87f8-b6e701f1a490.zip
30,b4320dff-2d78-4a85-8331-ac7b68671e9c,"Lipof, Lobovits not seeking reelection",1,2025-08-13 18:48:27.562987,Others,en,,news/b4320dff-2d78-4a85-8331-ac7b68671e9c.zip
31,5593d215-682c-47d3-abf5-358d96ec65b1,Town officials start planning for possible override on May 2026 ballot,1,2025-08-13 18:51:00.527761,Others,en,,news/5593d215-682c-47d3-abf5-358d96ec65b1.zip
33,61f16567-bef6-4b93-8597-74c553be2eed,Residential real estate sales in Brookline from July 14 to July 25,1,2025-08-13 19:07:10.131787,Others,en,,news/61f16567-bef6-4b93-8597-74c553be2eed.zip
34,d6959d1c-a4b0-4aec-b199-6f9d1595566e,live: Trump administration by Tom Dundon,1,2025-08-13 19:18:44.647599,Others,en,,news/d6959d1c-a4b0-4aec-b199-6f9d1595566e.zip
35,6efa4386-1168-427d-8795-f68f913b6c24,live: Trump administration by Tom Dundon,1,2025-08-13 19:41:51.539728,Others,en,,news/6efa4386-1168-427d-8795-f68f913b6c24.zip
37,860be4b6-2013-48f5-a7c3-c1065581a683,‘New Heights’ podcast by Tom Dundon,1,2025-08-13 20:05:14.6988,Others,en,,news/860be4b6-2013-48f5-a7c3-c1065581a683.zip
38,701707a0-6ec9-40ea-8ed3-168b39dd9ecf,‘New Heights’ podcast by Tom Dundon,1,2025-08-13 20:09:57.888412,Others,en,,news/701707a0-6ec9-40ea-8ed3-168b39dd9ecf.zip
40,8e186874-5b2e-40b0-8c4f-985759dd1de0,Trump and Putin will meet at an Alaska military base long used to counter Russia by Tom Dundon,1,2025-08-14 01:14:29.828715,Others,en,,news/8e186874-5b2e-40b0-8c4f-985759dd1de0.zip
41,01333b46-e546-43fa-8bd8-1ee871f42362,"Updated 3:10 PM EDT, August 13, 2025 by KONSTANTIN TOROPIN and MICHELLE L. PRICE",1,2025-08-14 02:23:26.279936,Others,en,,news/01333b46-e546-43fa-8bd8-1ee871f42362.zip
42,4d3a8984-a4c7-416c-ab5c-fc7739ff4be2,"",1,2025-08-14 02:47:42.17337,Others,en,,news/4d3a8984-a4c7-416c-ab5c-fc7739ff4be2.zip
44,63646627-a6aa-480b-b0d0-2179108b04d1,"",1,2025-08-14 03:31:50.38567,Others,en,,news/63646627-a6aa-480b-b0d0-2179108b04d1.zip
45,fba24859-a85b-41be-9de1-2bd2d1e852af,schedul,1,2025-08-14 03:36:57.403453,Others,en,,news/fba24859-a85b-41be-9de1-2bd2d1e852af.zip
570,5799a78d-91f8-42b8-9ccd-537721ee6fc1,Advice Line with Tariq Farid of Edible Arrangements,1,2025-11-07 16:02:39.451917,Business and Investment,en,,news/5799a78d-91f8-42b8-9ccd-537721ee6fc1.zip
49,ed1a3be0-202e-4193-877a-777591336f28,Newton North student takes on food waste in schools by Alex Degterev,1,2025-08-14 17:32:05.029734,Others,en,,news/ed1a3be0-202e-4193-877a-777591336f28.zip
51,67ca4e09-158b-4f49-ad3d-3c6381d00a2c,"Christine Fisher talks budgets, excellence and a School Committee run by Elizabeth Plese",1,2025-08-14 19:02:32.225917,Others,en,,news/67ca4e09-158b-4f49-ad3d-3c6381d00a2c.zip
52,b2a7ca31-01e6-4af3-b1d7-efde58449259,Crime Keeps Falling. Here’s Why. by The Editorial Board,1,2025-08-15 12:32:53.285013,Others,en,,news/b2a7ca31-01e6-4af3-b1d7-efde58449259.zip
54,040e3298-d101-442e-a3d7-7c4f2105cfbf,"Switzerland Joins Italy, Netherlands, Greece, Portugal and More As UK Issues New Travel Advisory for Summer and Fall 2025: Here’s Everything You Need To Know by [empty]",1,2025-08-17 15:28:54.612426,Others,en,,news/040e3298-d101-442e-a3d7-7c4f2105cfbf.zip
55,eb48ac8a-30a6-475b-8080-57c48eb7ebb3,"Switzerland Joins Italy, Netherlands, Greece, Portugal and More As UK Issues New Travel Advisory for Summer and Fall 2025: Here’s Everything You Need To Know",1,2025-08-17 18:06:00.63294,Others,en,,news/eb48ac8a-30a6-475b-8080-57c48eb7ebb3.zip
56,c02ffec0-81dc-4e50-91e2-0c6e9ec21e18,"Switzerland Joins Italy, Netherlands, Greece, Portugal and More As UK Issues New Travel Advisory for Summer and Fall 2025: Here’s Everything You Need To Know",1,2025-08-17 19:20:04.94008,Others,en,,news/c02ffec0-81dc-4e50-91e2-0c6e9ec21e18.zip
58,3b01fb16-9f27-4715-be25-b014122b2f26,"Switzerland Joins Italy, Netherlands, Greece, Portugal and More As UK Issues New Travel Advisory for Summer and Fall 2025: Here’s Everything You Need To Know",1,2025-08-17 19:54:29.433472,Others,en,,news/3b01fb16-9f27-4715-be25-b014122b2f26.zip
59,38e5e668-47e5-4ae4-b5ce-cd8c4fcb2966,‘I’m glad Mitch is leaving’: Fight to replace McConnell in Senate may be about who rejects his legacy by Sam Brodey Globe Staff,1,2025-08-17 20:02:48.282428,Others,en,,news/38e5e668-47e5-4ae4-b5ce-cd8c4fcb2966.zip
60,1d80d244-958c-4184-9420-107081cb09dc,’ Suffolk Sheriff Steven Tompkins relies heavily on employees for campaign donations by Matt Stout and Danny McDonald Globe Staff,1,2025-08-17 20:17:08.058827,Others,en,,news/1d80d244-958c-4184-9420-107081cb09dc.zip
62,c0f48779-9ab4-44fa-a19e-06f8e80485a7,Watch live as European and NATO leaders join Ukrainian President Volodymyr Zelenskyy in Washington to present a united front in talks with U,1,2025-08-18 16:06:27.180952,Others,en,,news/c0f48779-9ab4-44fa-a19e-06f8e80485a7.zip
63,f8615047-4cfd-4188-ac45-44392e3ada50,Watch live as European and NATO leaders join Ukrainian President Volodymyr Zelenskyy in Washington to present a united front in talks with U,1,2025-08-18 16:27:08.521357,Others,en,,news/f8615047-4cfd-4188-ac45-44392e3ada50.zip
64,559cfde7-20d7-4125-9ad4-00fa78225d67,Watch live as European and NATO leaders join Ukrainian President Volodymyr Zelenskyy in Washington to present a united front in talks with U,1,2025-08-18 16:54:34.416893,Others,en,,news/559cfde7-20d7-4125-9ad4-00fa78225d67.zip
65,4310fc58-330e-4bdb-b777-34b170ce4817,Watch live as European and NATO leaders join Ukrainian President Volodymyr Zelenskyy in Washington to present a united front in talks with U,1,2025-08-18 17:28:33.21528,Others,en,,news/4310fc58-330e-4bdb-b777-34b170ce4817.zip
66,172a29be-6fa4-4fa0-b851-d166a4b6ebca,"Ahead of Monday’s White House meetings, Trump took",1,2025-08-18 18:31:31.161141,Others,en,,news/172a29be-6fa4-4fa0-b851-d166a4b6ebca.zip
67,5b9336d2-33f4-426a-b8f9-df5836a660d6,"Ahead of Monday’s White House meetings, Trump took",1,2025-08-18 19:57:46.7917,Others,en,,news/5b9336d2-33f4-426a-b8f9-df5836a660d6.zip
69,ae1d333c-b188-4a15-99ed-766e27d4ef0f,"free community college presses on, transforming students’ lives by Mara Kardas-Nelson and Diti Kohli Globe Staff",1,2025-08-19 03:07:27.827016,Others,en,,news/ae1d333c-b188-4a15-99ed-766e27d4ef0f.zip
70,637b8ca4-9ef9-482d-aa3e-3356d36c59e1,"free community college presses on, transforming students’ lives by Mara Kardas-Nelson and Diti Kohli Globe Staff",1,2025-08-19 03:22:16.095421,Others,en,,news/637b8ca4-9ef9-482d-aa3e-3356d36c59e1.zip
71,c3cfeb0b-ad73-4a04-bbe8-ba3482d5d60c,"free community college presses on, transforming students’ lives by Mara Kardas-Nelson and Diti Kohli Globe Staff",1,2025-08-19 03:31:49.518973,Others,en,,news/c3cfeb0b-ad73-4a04-bbe8-ba3482d5d60c.zip
73,b28762bc-2739-4e17-a5ca-1788c2489de4,Ukrainian President Volodymyr Zelenskyy and President Donald Trump hope that their critical meeting with European leaders at the White House could lead to three-party talks with Russian President Vladimir Putin to bring an end to his war on Ukraine,1,2025-08-19 19:02:18.844383,Others,en,,news/b28762bc-2739-4e17-a5ca-1788c2489de4.zip
74,598683b5-c1f5-4172-9148-55cde4289483,Ukrainian President Volodymyr Zelenskyy and President Donald Trump hope that their critical meeting with European leaders at the White House could lead to three-party talks with Russian President Vladimir Putin to bring an end to his war on Ukraine,1,2025-08-19 19:47:51.840242,Others,en,,news/598683b5-c1f5-4172-9148-55cde4289483.zip
75,cef768ce-e462-442a-ae2b-8ece9a1a2178,This conversation is being recorded: Trump’s hot mic moment is the latest in a long global list,1,2025-08-19 20:39:48.205191,Others,en,,news/cef768ce-e462-442a-ae2b-8ece9a1a2178.zip
76,b30cb674-a290-450d-a6cd-02b38363a90b,This conversation is being recorded: Trump’s hot mic moment is the latest in a long global list,1,2025-08-19 21:29:57.360906,Others,en,,news/b30cb674-a290-450d-a6cd-02b38363a90b.zip
78,b50620eb-99c9-4b6d-9e98-b14a37f68d9d,"As the pricey weight-loss drugs go mainstream, jealousy and judgment follow by Beth Teitell Globe Staff",1,2025-08-20 13:26:09.713047,Others,en,,news/b50620eb-99c9-4b6d-9e98-b14a37f68d9d.zip
79,9b23090c-bd5d-4a06-ab8b-a96d25661324,"As the pricey weight-loss drugs go mainstream, jealousy and judgment follow by Beth Teitell Globe Staff",1,2025-08-20 13:40:38.089136,Others,en,,news/9b23090c-bd5d-4a06-ab8b-a96d25661324.zip
80,9afc2aac-69c9-41a9-8061-f97a405c8990,"As the pricey weight-loss drugs go mainstream, jealousy and judgment follow by Beth Teitell Globe Staff",1,2025-08-20 14:29:04.826663,Others,en,,news/9afc2aac-69c9-41a9-8061-f97a405c8990.zip
82,9a5fe19b-b00b-4f37-ae08-793966ae4d10,Wealthy households are driving Boston’s rising income segregation by Katarina Schmeiszer Globe Correspondent,1,2025-08-20 15:55:07.829813,Others,en,,news/9a5fe19b-b00b-4f37-ae08-793966ae4d10.zip
249,df402a75-271c-4efb-942b-b584733e9a7f,"Robot Ransom: Hold an entire fleet hostage by canceling all their tasks Make robots go to wrong locations repeatedly Demand payment to stop the chaos (some of their robots have screens, so an attacker could put a bitcoin qr code and text saying ""pay 69 bi",1,2025-09-18 15:52:02.743544,Education and Learning,en,,news/df402a75-271c-4efb-942b-b584733e9a7f.zip
84,18410524-fbb4-42db-bb8b-9412b7d44d24,Wealthy households are driving Boston’s rising income segregation by Katarina Schmeiszer Globe Correspondent,1,2025-08-20 19:43:53.851329,Others,en,,news/18410524-fbb4-42db-bb8b-9412b7d44d24.zip
86,f3e0dc12-3a61-4fb9-8f8c-a881c3abce38,"Miss Hall’s School failed to stop teacher from sexually abusing five students over 20 years, independent investigator finds by John R. Ellement Globe Staff",1,2025-08-20 22:38:55.704917,Others,en,,news/f3e0dc12-3a61-4fb9-8f8c-a881c3abce38.zip
87,f99ef80f-692a-4798-9554-d2d3123a423f,"Miss Hall’s School failed to stop teacher from sexually abusing five students over 20 years, independent investigator finds by John R. Ellement Globe Staff",1,2025-08-20 23:14:25.505206,Others,en,,news/f99ef80f-692a-4798-9554-d2d3123a423f.zip
88,bf413c53-1184-4cf8-9449-aaef8e092e5d,"Miss Hall’s School failed to stop teacher from sexually abusing five students over 20 years, independent investigator finds by John R. Ellement Globe Staff",1,2025-08-20 23:25:24.624738,Others,en,,news/bf413c53-1184-4cf8-9449-aaef8e092e5d.zip
89,481af8e0-b75c-4749-8c22-05138f73e25e,"Miss Hall’s School failed to stop teacher from sexually abusing five students over 20 years, independent investigator finds by John R. Ellement Globe Staff",1,2025-08-20 23:34:30.431775,Others,en,,news/481af8e0-b75c-4749-8c22-05138f73e25e.zip
90,930988f9-d0d0-4074-9d2f-c9912cb9e58a,https://thedailyrip.stocktwits.com/,1,2025-08-21 16:33:16.401556,Others,en,,news/930988f9-d0d0-4074-9d2f-c9912cb9e58a.zip
132,1d263e75-21c7-4867-bce6-28c58e9f5e89,"By making public two days worth of interviews, officials appear to be hoping to at least temporarily keep at bay sustained anger from President Donald Trump's base even as they continue to sit on other evidence they had suggested was being prepared for pu",1,2025-08-22 19:39:12.216939,Others,en,,news/1d263e75-21c7-4867-bce6-28c58e9f5e89.zip
133,747baaa0-0ddc-4bc0-8b76-a187dd495495,"Bolton, who emerged as an outspoken critic of President Donald Trump after being fired in 2019 and fought with the first Trump administration over a scathing book he wrote documenting his time in the White House, was not in custody Friday and has not been",1,2025-08-22 19:39:20.764122,Others,en,,news/747baaa0-0ddc-4bc0-8b76-a187dd495495.zip
134,b23946c4-4a15-47e4-b7e8-a3d24090ffc1,"The company added that the man on its former logo, known as Uncle Herschel, “remains front and center in our restaurants and on our menu,"" as he represents “The Herschel Way,” which is “the foundation of how our 70,000 plus employees provide the country h",1,2025-08-22 19:39:32.935237,Others,en,,news/b23946c4-4a15-47e4-b7e8-a3d24090ffc1.zip
135,116798f1-bf04-4941-9c49-bb24bbb4a3e6,"21 Erik and his brother, Lyle Menendez, were convicted of killing their parents, José Menendez and Kitty Menendez In May 2025, a California judge changed their sentences and made them eligible for parole Erik Menendez was denied parole in connection with ",1,2025-08-22 19:39:38.759843,Others,en,,news/116798f1-bf04-4941-9c49-bb24bbb4a3e6.zip
136,c95eec70-3cdb-4ecf-8eba-395f005a6222,"Powell fires up markets, but some investors see reason for caution Davide Barbuscia, Laura Matthews and Lewis Krauskopf Fri, Aug 22, 2025, 11:52 AM 4 min read By Davide Barbuscia, Laura Matthews and Lewis Krauskopf NEW YORK (Reuters) -Investors cheered Fe",1,2025-08-22 19:39:52.303303,Others,en,,news/c95eec70-3cdb-4ecf-8eba-395f005a6222.zip
138,16864f19-1788-4464-8a96-3ee50396efe2,"The FBI searched former national security adviser John Bolton's house in Bethesda, Maryland, early Friday morning, the bureau confirmed to CBS News by of the building",1,2025-08-22 19:40:09.171947,Others,en,,news/16864f19-1788-4464-8a96-3ee50396efe2.zip
139,a42a0004-44b7-455f-b34e-76a5db8a4249,"- WGRZ Multiple fatalities, including children, were reported Friday after a tour bus with about 50 passengers headed back to New York City from Niagara Falls crashed into a ditch, state police said",1,2025-08-22 19:40:17.626287,Others,en,,news/a42a0004-44b7-455f-b34e-76a5db8a4249.zip
140,0cf575a8-87a0-4950-b14d-5356bbf8305a,"Donna Adelson , 75, once accustomed to a life of luxury in Miami, faces a first-degree murder charge as well as conspiracy and solicitation to commit first-degree murder for the 2014 death of Dan Markel, who was fatally shot twice in the head while in his",1,2025-08-22 19:40:22.551489,Others,en,,news/0cf575a8-87a0-4950-b14d-5356bbf8305a.zip
141,956b4cd0-fbe1-427c-afae-41f6dd9c1245,"Story by Todd Kelly, Nick Stavas and Tim Schmitt, Golfweek August 22, 2025 at 12:01 PM UTC · 12 min read The final leg of the FedEx Cup Playoffs is off and running and the 2025 Tour Championship has moved to the second round by Todd Kelly",1,2025-08-22 21:30:33.528642,Others,en,,news/956b4cd0-fbe1-427c-afae-41f6dd9c1245.zip
142,19cadb61-63f0-4058-a9a7-78bb41d4b17b,"Story by © Stan Szeto-Imagn Images Kendall Capps August 22, 2025 at 6:36 PM UTC · 4 min read The post Grading the 49ers-Commanders Brian Robinson Jr by © Stan Szeto-Imagn Images Kendall Capps August 22",1,2025-08-22 21:30:53.243481,Others,en,,news/19cadb61-63f0-4058-a9a7-78bb41d4b17b.zip
144,81ed2ff7-5928-4929-99d5-ec6312dbece2,"Kilmar Abrego Garcia was released from detention on Friday and headed back to his home state of Maryland, the latest move in a months-long saga that has become a symbol of President Trump's crackdown on undocumented immigrants by ICE yet again. What happe",1,2025-08-22 21:31:00.805791,Others,en,,news/81ed2ff7-5928-4929-99d5-ec6312dbece2.zip
145,53c8bab3-7df3-499c-866f-56b3bb23ce08,"/ Credit: Kent Nishimura/Bloomberg via Getty Images Intelligence committee leaders in Congress were informed about the DIA chief's firing, according to a source familiar with the notification, but were given no reason for it by a matter of months",1,2025-08-22 21:31:11.112201,Others,en,,news/53c8bab3-7df3-499c-866f-56b3bb23ce08.zip
146,7150d871-ed5c-41fe-90fd-b65a25fe254a,- City of Uvalde Uvalde school officials are withholding documents about classroom security and a payout to the sacked police chief even after a court ordered such documents released in the wake of the May 2022 massacre at Robb Elementary School in Texas ,1,2025-08-22 21:31:17.355241,Others,en,,news/7150d871-ed5c-41fe-90fd-b65a25fe254a.zip
147,050cdb53-8e9d-400f-adee-431c174be281,"22, President Donald Trump's former national security adviser John Bolton's Maryland home was raided by the FBI Bolton previously wrote a tell-all about his time working in the White House, and was sued by the Justice Department, which claimed he was writ",1,2025-08-22 22:23:01.282656,Others,en,,news/050cdb53-8e9d-400f-adee-431c174be281.zip
257,42cee7f5-2e74-47bb-8954-5f4946285ed1,API 01:2019 — Broken object level authorization API 02:2019 — Broken authentication API 03:2019 — Excessive data exposure API 04:2019 — Lack of resources and rate limiting API 05:2019 — Broken function level authorization API 06:2019 — Mass assignment API,1,2025-09-18 15:53:16.897425,Technology,en,,news/42cee7f5-2e74-47bb-8954-5f4946285ed1.zip
734,d4a39b1c-2b16-4855-bbd1-af780f3e3d3c,A New Way to Think: Roger Martin,1,2025-11-20 18:14:37.251619,Business and Investment,en,,news/d4a39b1c-2b16-4855-bbd1-af780f3e3d3c.zip
149,0f2c9410-e0ee-4e8c-8ce7-dbe397a90c52,"The Tigers enter Friday night's game against the Kansas City Royals having won 10 of their last 13 games, including a massive sweep of the Houston Astros in the three games before the series against the Royals by Andrew Birkle",1,2025-08-22 22:23:14.352519,Others,en,,news/0f2c9410-e0ee-4e8c-8ce7-dbe397a90c52.zip
150,0b5f8045-ad89-4730-9879-be25a9fb12a0,"The release of the transcripts came as the Justice Department also turned over thousands of pages of files in the Epstein case to the House Oversight Committee, which said it would publish, after child sexual abuse material and any information identifying",1,2025-08-22 22:23:20.622016,Others,en,,news/0b5f8045-ad89-4730-9879-be25a9fb12a0.zip
151,cac20923-3452-4d8a-8b3d-cc7e0977e7f5,US District Judge Kathleen Williams issued a preliminary injunction in a federal lawsuit filed by environmental groups and a Native American tribe who are concerned about the impact the facility will have on the environmentally sensitive area by environme,1,2025-08-22 22:23:30.061631,Others,en,,news/cac20923-3452-4d8a-8b3d-cc7e0977e7f5.zip
153,14f61b34-201d-45bf-8aef-698a4c0c087b,"Kevin Travers August 22, 2025 • Reading Time: 12 minutes Presented by CLOSING BELL Powell's 'Maybe' Defibulator The market closed higher after a whiff of interest rate cuts came out of FOMC head Jerome Powell’s Jackson Hole monetary policy speech by Stock",1,2025-08-24 03:43:00.920575,Business and Investment,en,,news/14f61b34-201d-45bf-8aef-698a4c0c087b.zip
154,935deb3c-9c2e-4208-9d27-5ecbdd4ac79c,"🤷 The crackdown brings memories of the backlash against the perceived backlash to an American Apparel ad featuring Sydney Sweeney in jeans earlier this year, and even the Anheuser-Busch advertising controversy in 2023 over a transgender influencer sent fr",1,2025-08-24 03:43:16.76655,Business and Investment,en,,news/935deb3c-9c2e-4208-9d27-5ecbdd4ac79c.zip
156,9223ad4d-c1a6-41ad-8a1e-f4663ff247e0,"Theme: Its the domain expertise that matters Special thanks to our sponsor… Liked by Michiel Maaskant I joined Carmen Lilly on the S&P Global ""IR In Focus"" podcast to discuss why retail investors have turned into a formidable force in the market and… I jo",1,2025-08-24 03:43:38.066468,Technology,en,,news/9223ad4d-c1a6-41ad-8a1e-f4663ff247e0.zip
157,6d2bfb86-f2d6-4f19-b6f5-8b8992bfbdba,Ashley Louise Developing Strategic Growth Plans for Startups and Entrepreneurs | Co-Founder @ Ladies Get Paid | ex IAC & Vimeo | Twin Mom | Congenital Heart Disease Advocate 1d Report this comment we know who would cc Saira Rahman 😂 Like Reply 1 Reaction ,1,2025-08-24 03:43:52.491723,Business and Investment,en,,news/6d2bfb86-f2d6-4f19-b6f5-8b8992bfbdba.zip
158,61722408-7681-42d6-8fe7-8cd04fbfdd28,"Stocktwits 12,473 followers 1d Report this post 🟡 DAILY RIP LIVE - FAFO FRIDAY WITH JORDAN LEE, MICHAEL NAUSS, & LIA THE TRADER 🟡 DAILY RIP LIVE - WITH JORDAN LEE, MICHAEL NAUSS, & LIA THE TRADER www",1,2025-08-24 03:44:00.025064,Technology,en,,news/61722408-7681-42d6-8fe7-8cd04fbfdd28.zip
159,0aa8388a-9dfa-4791-bbcb-2d092bc12ae6,"Story by Michael David Smith August 25, 2025 at 3:59 PM UTC · 1 min read NFL teams are cutting from their 90-player training camp rosters to the 53-man roster limit for the regular season, and we'll be regularly updating this space with links to all our p",1,2025-08-25 18:23:02.949574,Business and Investment,en,,news/0aa8388a-9dfa-4791-bbcb-2d092bc12ae6.zip
160,b4e0c004-d1df-4e5f-82b5-05c0bb169da0,"Raja Jackson, the son of former UFC light heavyweight champion Quinton ""Rampage"" Jackson, appeared to brutally assault a professional wrestler at an independent wrestling event in California on Saturday by Raja Jackson",1,2025-08-25 18:23:09.090787,Technology,en,,news/b4e0c004-d1df-4e5f-82b5-05c0bb169da0.zip
162,7dce0671-2bc8-40ba-b502-91dbffe7443a,"""It is with love and gratitude that we, the family of Malik Taylor, acknowledge the incredible support and kindness shown following his untimely passing due to a tragic vehicle accident,"" Taylor's family said in a statement on Aug by his business fraterni",1,2025-08-25 18:23:19.068767,Technology,en,,news/7dce0671-2bc8-40ba-b502-91dbffe7443a.zip
163,ce04f9b2-9a24-4db8-a34a-dc415ded66d5,"Despite a hectic start to his second term, President Donald Trump's current approval rating and popularity remain higher than his first term , which averaged 42 by age",1,2025-08-25 18:23:22.612803,News and Politics,en,,news/ce04f9b2-9a24-4db8-a34a-dc415ded66d5.zip
164,8646d226-ac36-43b7-abdd-e273b4d17bd7,"I was on autopilot last Thursday when I pulled into a gas station in Takoma Park, Maryland, and annoyed with how the pit stop would add time to my commute to CNN’s office in Washington, DC by Montgomery County. They all agreed to ask around and see if my ",1,2025-08-25 18:23:30.463302,Others,en,,news/8646d226-ac36-43b7-abdd-e273b4d17bd7.zip
165,22573b65-fafa-4924-a49c-770b97de151e,"- Luke Johnson/Los Angeles Times/Getty Images As the Trump administration ramps up efforts to detain and deport undocumented people, dramatic videos of immigration arrests from California to New York have sparked reactions from applause to backlash across",1,2025-08-25 18:23:31.878654,News and Politics,en,,news/22573b65-fafa-4924-a49c-770b97de151e.zip
166,eb2be6c4-ca9a-488d-af97-07bae693368c,"” Under the leadership of Zambada and Joaquín “El Chapo” Guzmán, prosecutors say the Sinaloa cartel evolved from a regional player into the largest drug trafficking organization in the world by boat and plane and the smuggling of the drug across the U.S.-",1,2025-08-25 18:23:33.304075,Education and Learning,en,,news/eb2be6c4-ca9a-488d-af97-07bae693368c.zip
168,ef7d9125-51b8-4328-804f-fca9ea59f206,"Patriots Postgame Live Aug 22 Patriots fuel speculation after potential trade piece sidelined in finale Patriots edge rusher Anfernee Jennings is thought to be a potential trade chip, making his absence Thursday night noteworthy by Ja'Lynn Polk report: ‘R",1,2025-08-25 19:20:26.377965,Technology,en,,news/ef7d9125-51b8-4328-804f-fca9ea59f206.zip
