id,tour_name,request_string,number_requested,lat,lng,created_at,language,original_tour_id,tour_content,content_language,stops_count,creator_type,description,derived_from_tour_id,draft,tour_blob_uri
34,"walking tour near Funway Park, tewksbury Massachusetts - walking Tour","walking tour near Funway Park, tewksbury Massachusetts",1,42.6178,-71.234,2025-08-22 19:48:27.795452,en,,,en,0,Official,,,f,tours/34.zip
18,"20th century art at MFA, Boston Massachusetts - museum Tour","20th century art at MFA, Boston Massachusetts",3,42.3398,-71.0943,2025-08-06 16:57:46.722638,en,,,en,0,Official,,,f,tours/18.zip
28,Walk ng tour along Harvard Ave. in Brookline MA  - walking Tour,Walk ng tour along Harvard Ave. in Brookline MA ,1,42.3397,-71.1254,2025-08-10 02:19:03.004874,en,,,en,0,Official,,,f,tours/28.zip
31,"walking tour in financial district, Boston MA  - walking Tour","walking tour in financial district, Boston MA ",4,42.3496,-71.0773,2025-08-10 03:48:08.450146,en,,,en,0,Official,,,f,tours/31.zip
30,walking tour in downtown Boston MA  - walking Tour,walking tour in downtown Boston MA ,2,42.3588,-71.0636,2025-08-10 03:46:33.594244,en,,,en,0,Official,,,f,tours/30.zip
33,"walking tour around Boston Common, Boston MA  - walking Tour","walking tour around Boston Common, Boston MA ",2,42.3551,-71.0656,2025-08-17 14:45:06.110456,en,,,en,0,Official,,,f,tours/33.zip
19,"modern art at MFA, Boston MA  - museum Tour","modern art at MFA, Boston MA ",3,42.3398,-71.0943,2025-08-06 18:27:15.821314,en,,,en,0,Official,,,f,tours/19.zip
25,"The second floor of Isabella Stewart Gardnet Museum, Boston, Massachusetts - museum Tour","The second floor of Isabella Stewart Gardnet Museum, Boston, Massachusetts",2,42.3382,-71.098,2025-08-08 20:41:54.625191,en,,,en,0,Official,,,f,tours/25.zip
20,"glass sculptures in MFA, Boston MA - museum Tour","glass sculptures in MFA, Boston MA",3,42.3392,-71.0942,2025-08-06 20:20:12.141213,en,,,en,0,Official,,,f,tours/20.zip
42,walking tour Jewish neighborhood and Jewish history in Buenos Aires Argentina - walking Tour,walking tour Jewish neighborhood and Jewish history in Buenos Aires Argentina,1,-34.5727,-58.4142,2025-09-18 19:51:49.411044,en,,,en,0,Official,,,f,tours/42.zip
35,"walking tour in South Boston, MA - walking Tour","walking tour in South Boston, MA",1,42.3515,-71.0536,2025-08-22 20:24:31.19142,en,,,en,0,Official,,,f,tours/35.zip
26,walking tour along Commonwealth Ave. Boston MA - walking Tour,walking tour along Commonwealth Ave. Boston MA,1,42.3535,-71.0716,2025-08-10 00:45:19.577959,en,,,en,0,Official,,,f,tours/26.zip
21,"Egyptian art in MFA, Boston Massachusetts - museum Tour","Egyptian art in MFA, Boston Massachusetts",3,42.3398,-71.0943,2025-08-07 00:48:48.324919,en,,,en,0,Official,,,f,tours/21.zip
24,Third floor of Isabella Stewart Gardner Museum Boston Massachusetts - museum Tour,Third floor of Isabella Stewart Gardner Museum Boston Massachusetts,2,42.3381,-71.0988,2025-08-07 14:04:43.557213,en,,,en,0,Official,,,f,tours/24.zip
38,Great Mammal Hall collection in Harvard Museum of natural History Cambridge Massachusetts - museum Tour,Great Mammal Hall collection in Harvard Museum of natural History Cambridge Massachusetts,1,42.3784,-71.1167,2025-09-14 01:19:27.953389,en,,,en,0,Official,,,f,tours/38.zip
23,Rembrandt paintings at MFA Boston Massachusetts - museum Tour,Rembrandt paintings at MFA Boston Massachusetts,5,42.3393,-71.0942,2025-08-07 03:17:43.913311,en,,,en,0,Official,,,f,tours/23.zip
29,walking tour alone Newberry St. Boston MA  - walking Tour,walking tour alone Newberry St. Boston MA ,3,42.3543,-71.0723,2025-08-10 02:37:35.788825,en,,,en,0,Official,,,f,tours/29.zip
36,"MFA European paintings of 17th Century, Boston MA  - museum Tour","MFA European paintings of 17th Century, Boston MA ",3,42.3393,-71.0941,2025-09-04 23:49:57.9158,en,,,en,0,Official,,,f,tours/36.zip
39,Central and South America exhibit at Harvard Museum of natural History Cambridge Massachusetts - museum Tour,Central and South America exhibit at Harvard Museum of natural History Cambridge Massachusetts,2,42.3784,-71.1171,2025-09-14 01:29:20.282023,en,,,en,0,Official,,,f,tours/39.zip
121,wslkng tour in Cambridge Massachusetts that is described in a book tomorrow tomorrow and tomorrow - museum Tour,wslkng tour in Cambridge Massachusetts that is described in a book tomorrow tomorrow and tomorrow,1,,,2026-01-28 14:57:26.513061,en,,"",en,0,Official,,,f,tours/121.zip
128,"restaurants in West Roxbury, MA - dining Tour","restaurants in West Roxbury, MA",2,42.2796,-71.1708,2026-01-28 18:52:50.739351,en,,"Step-by-Step Audio Guided Tour: restaurants in West Roxbury, MA - Dining Tour Stop 1: The Corrib Pub Orientation: As you approach The Corrib Pub, find a spot across the street to take in the charming exterior of this historic establishment. Position yourself directly in front of the entrance to fully appreciate the architectural details and inviting ambiance. Nestled in the heart of West Roxbury, The Corrib Pub holds a significant place in the local dining scene, blending art, history, and culture seamlessly. Established in 1969, this beloved pub has become a cornerstone of the community, known for its warm hospitality and traditional Irish fare. The exterior of The Corrib Pub showcases classic Irish pub architecture, featuring a brick facade adorned with hanging flower baskets and a welcoming sign overhead. Step inside to discover a cozy interior adorned with vintage memorabilia, wooden furnishings, and a lively atmosphere that transports visitors to the heart of Ireland. The artistic significance of The Corrib Pub lies in its ability to preserve and celebrate Irish culture through its decor, menu offerings, and warm ambiance. The walls are adorned with traditional Irish artwork, photographs, and memorabilia, creating a nostalgic and authentic dining experience. The creative process behind The Corrib Pub involves a meticulous curation of decor and menu items that pay homage to Irish culinary traditions. The pub's menu features classic Irish dishes such as shepherd's pie, bangers and mash, and fish and chips, expertly prepared to delight diners seeking a taste of Ireland. In the broader context of dining, The Corrib Pub exemplifies how a restaurant can serve as a cultural hub, bringing people together to share in the experience of good food, drinks, and conversation. Visitors will appreciate the attention to detail in the pub's design, from the stained glass windows to the cozy fireplace, creating a welcoming and authentic Irish pub experience. As you explore The Corrib Pub, take note of the intricate woodwork, vintage photographs, and friendly staff who embody the spirit of Irish hospitality. Don't miss the opportunity to savor a pint of Guinness or indulge in a hearty Irish stew while immersing yourself in the rich history and culture that this iconic pub has to offer. Please resume the tour at the next stop once you reach it by following these directions: Continue to the next exhibit, 'Himalayan Bistro'. Stop 2: Himalayan Bistro Orientation: As you approach Himalayan Bistro, position yourself directly in front of the entrance to fully appreciate the vibrant colors and intricate details of the artwork displayed in the front windows. Step inside the Himalayan Bistro and you will find yourself surrounded by a captivating of this work lies in its depiction of traditional Himalayan architecture, prayer flags fluttering in the wind, and snow-capped mountains in the distance. These elements evoke a sense of serenity and spirituality that are deeply rooted in the cultural heritage of the region. The artist behind this masterpiece is renowned local muralist, , known for his intricate and immersive creations that bring spaces to life. His creative process involves meticulous planning, sketching, and layering of colors to achieve depth and realism in his works. The mural at Himalayan Bistro serves not only as a visual delight but also as a symbol of the rich cultural tapestry of the Himalayan region. This piece seamlessly integrates into the broader context of dining by creating an immersive ambiance that complements the flavors and aromas of the Himalayan cuisine served at the restaurant. The mural serves as a visual feast for diners, enhancing their overall dining experience and transporting them to a different world as they savor each bite. Visitors will be intrigued by the hidden details within the mural, such as prayer wheels adorned with ancient symbols, intricately painted flora and fauna, and the subtle play of light and shadow that adds depth to the scene. Take a moment to appreciate the skill and artistry that went into creating this stunning artwork as you enjoy your meal at Himalayan Bistro. Thank you for joining this dining tour of restaurants in West Roxbury, MA. We hope you have enjoyed the journey through art, history, and nature, and that you leave inspired by the beauty and creativity that surrounds you.",en,0,Official,,,f,tours/128.zip
132,"pizza restaurants in North End, Boston, MA - culinary Tour","pizza restaurants in North End, Boston, MA",1,42.3644,-71.0542,2026-02-03 02:44:47.601021,en,,,en,0,Official,,,f,tours/132.zip
